Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-8.594036, 2020-2039, mri_cgcm3, Nov Anomaly, Bulgaria, BGR
-7.239775, 2020-2039, mri_cgcm3, Dec Anomaly, Bulgaria, BGR
-0.6734719, 2020-2039, noresm1_m, Jan Anomaly, Bulgaria, BGR
2.3282306, 2020-2039, noresm1_m, Feb Anomaly, Bulgaria, BGR
7.1054573, 2020-2039, noresm1_m, Mar Anomaly, Bulgaria, BGR
-4.7350364, 2020-2039, noresm1_m, Apr Anomaly, Bulgaria, BGR
-4.703497, 2020-2039, noresm1_m, May Anomaly, Bulgaria, BGR
-4.357857, 2020-2039, noresm1_m, Jun Anomaly, Bulgaria, BGR
-3.7746553, 2020-2039, noresm1_m, Jul Anomaly, Bulgaria, BGR
1.1977667, 2020-2039, noresm1_m, Aug Anomaly, Bulgaria, BGR
-1.3578652, 2020-2039, noresm1_m, Sep Anomaly, Bulgaria, BGR
21.490374, 2020-2039, noresm1_m, Oct Anomaly, Bulgaria, BGR
9.208301, 2020-2039, noresm1_m, Nov Anomaly, Bulgaria, BGR
-14.639617, 2020-2039, noresm1_m, Dec Anomaly, Bulgaria, BGR
0.1462196, 2020-2039, bcc_csm1_1, Jan Anomaly, Burkina Faso, BFA
0.81791586, 2020-2039, bcc_csm1_1, Feb Anomaly, Burkina Faso, BFA
-1.0072209, 2020-2039, bcc_csm1_1, Mar Anomaly, Burkina Faso, BFA
4.757939, 2020-2039, bcc_csm1_1, Apr Anomaly, Burkina Faso, BFA
-10.646578, 2020-2039, bcc_csm1_1, May Anomaly, Burkina Faso, BFA
14.933091, 2020-2039, bcc_csm1_1, Jun Anomaly, Burkina Faso, BFA
21.631847, 2020-2039, bcc_csm1_1, Jul Anomaly, Burkina Faso, BFA
1.1419401, 2020-2039, bcc_csm1_1, Aug Anomaly, Burkina Faso, BFA
-32.343563, 2020-2039, bcc_csm1_1, Sep Anomaly, Burkina Faso, BFA
27.735468, 2020-2039, bcc_csm1_1, Oct Anomaly, Burkina Faso, BFA
-1.9412937, 2020-2039, bcc_csm1_1, Nov Anomaly, Burkina Faso, BFA
-0.5780651, 2020-2039, bcc_csm1_1, Dec Anomaly, Burkina Faso, BFA
-0.2365658, 2020-2039, bcc_csm1_1_m, Jan Anomaly, Burkina Faso, BFA
1.8053315, 2020-2039, bcc_csm1_1_m, Feb Anomaly, Burkina Faso, BFA
0.85688925, 2020-2039, bcc_csm1_1_m, Mar Anomaly, Burkina Faso, BFA
3.0186317, 2020-2039, bcc_csm1_1_m, Apr Anomaly, Burkina Faso, BFA
5.084346, 2020-2039, bcc_csm1_1_m, May Anomaly, Burkina Faso, BFA
-8.449353, 2020-2039, bcc_csm1_1_m, Jun Anomaly, Burkina Faso, BFA
-13.542222, 2020-2039, bcc_csm1_1_m, Jul Anomaly, Burkina Faso, BFA
-5.4502454, 2020-2039, bcc_csm1_1_m, Aug Anomaly, Burkina Faso, BFA
-4.0398765, 2020-2039, bcc_csm1_1_m, Sep Anomaly, Burkina Faso, BFA
-5.692514, 2020-2039, bcc_csm1_1_m, Oct Anomaly, Burkina Faso, BFA
0.3772794, 2020-2039, bcc_csm1_1_m, Nov Anomaly, Burkina Faso, BFA
-0.46538606, 2020-2039, bcc_csm1_1_m, Dec Anomaly, Burkina Faso, BFA
0.08717428, 2020-2039, ccsm4, Jan Anomaly, Burkina Faso, BFA
-0.61549634, 2020-2039, ccsm4, Feb Anomaly, Burkina Faso, BFA
5.3704815, 2020-2039, ccsm4, Mar Anomaly, Burkina Faso, BFA
7.8935633, 2020-2039, ccsm4, Apr Anomaly, Burkina Faso, BFA
-14.279518, 2020-2039, ccsm4, May Anomaly, Burkina Faso, BFA
3.4907908, 2020-2039, ccsm4, Jun Anomaly, Burkina Faso, BFA
1.9905272, 2020-2039, ccsm4, Jul Anomaly, Burkina Faso, BFA
5.2623386, 2020-2039, ccsm4, Aug Anomaly, Burkina Faso, BFA
27.245995, 2020-2039, ccsm4, Sep Anomaly, Burkina Faso, BFA
21.770826, 2020-2039, ccsm4, Oct Anomaly, Burkina Faso, BFA
3.8804362, 2020-2039, ccsm4, Nov Anomaly, Burkina Faso, BFA
-0.08832349, 2020-2039, ccsm4, Dec Anomaly, Burkina Faso, BFA
0.553258, 2020-2039, cesm1_cam5, Jan Anomaly, Burkina Faso, BFA
1.5916445, 2020-2039, cesm1_cam5, Feb Anomaly, Burkina Faso, BFA
10.979018, 2020-2039, cesm1_cam5, Mar Anomaly, Burkina Faso, BFA
3.9226713, 2020-2039, cesm1_cam5, Apr Anomaly, Burkina Faso, BFA
-0.40952048, 2020-2039, cesm1_cam5, May Anomaly, Burkina Faso, BFA
-3.9909015, 2020-2039, cesm1_cam5, Jun Anomaly, Burkina Faso, BFA
-9.058711, 2020-2039, cesm1_cam5, Jul Anomaly, Burkina Faso, BFA
-15.359279, 2020-2039, cesm1_cam5, Aug Anomaly, Burkina Faso, BFA
-10.529441, 2020-2039, cesm1_cam5, Sep Anomaly, Burkina Faso, BFA
-4.007822, 2020-2039, cesm1_cam5, Oct Anomaly, Burkina Faso, BFA
3.0367126, 2020-2039, cesm1_cam5, Nov Anomaly, Burkina Faso, BFA
0.10617489, 2020-2039, cesm1_cam5, Dec Anomaly, Burkina Faso, BFA
-1.0424898, 2020-2039, csiro_mk3_6_0, Jan Anomaly, Burkina Faso, BFA
0.5005729, 2020-2039, csiro_mk3_6_0, Feb Anomaly, Burkina Faso, BFA
-5.3125415, 2020-2039, csiro_mk3_6_0, Mar Anomaly, Burkina Faso, BFA
2.7856867, 2020-2039, csiro_mk3_6_0, Apr Anomaly, Burkina Faso, BFA
31.864613, 2020-2039, csiro_mk3_6_0, May Anomaly, Burkina Faso, BFA
-1.7669961, 2020-2039, csiro_mk3_6_0, Jun Anomaly, Burkina Faso, BFA
-22.133743, 2020-2039, csiro_mk3_6_0, Jul Anomaly, Burkina Faso, BFA
-7.0504885, 2020-2039, csiro_mk3_6_0, Aug Anomaly, Burkina Faso, BFA
17.021269, 2020-2039, csiro_mk3_6_0, Sep Anomaly, Burkina Faso, BFA
0.58753383, 2020-2039, csiro_mk3_6_0, Oct Anomaly, Burkina Faso, BFA
-4.833258, 2020-2039, csiro_mk3_6_0, Nov Anomaly, Burkina Faso, BFA
-0.15947364, 2020-2039, csiro_mk3_6_0, Dec Anomaly, Burkina Faso, BFA
0.07799558, 2020-2039, fio_esm, Jan Anomaly, Burkina Faso, BFA
-0.18470588, 2020-2039, fio_esm, Feb Anomaly, Burkina Faso, BFA
1.7279431, 2020-2039, fio_esm, Mar Anomaly, Burkina Faso, BFA
1.3669691, 2020-2039, fio_esm, Apr Anomaly, Burkina Faso, BFA
-3.4550457, 2020-2039, fio_esm, May Anomaly, Burkina Faso, BFA
-3.3838294, 2020-2039, fio_esm, Jun Anomaly, Burkina Faso, BFA
2.5595295, 2020-2039, fio_esm, Jul Anomaly, Burkina Faso, BFA
-0.43363407, 2020-2039, fio_esm, Aug Anomaly, Burkina Faso, BFA
-12.10892, 2020-2039, fio_esm, Sep Anomaly, Burkina Faso, BFA
0.061478026, 2020-2039, fio_esm, Oct Anomaly, Burkina Faso, BFA
3.630542, 2020-2039, fio_esm, Nov Anomaly, Burkina Faso, BFA
-0.061018113, 2020-2039, fio_esm, Dec Anomaly, Burkina Faso, BFA
0.027921995, 2020-2039, gfdl_cm3, Jan Anomaly, Burkina Faso, BFA
0.7037186, 2020-2039, gfdl_cm3, Feb Anomaly, Burkina Faso, BFA
-3.1410563, 2020-2039, gfdl_cm3, Mar Anomaly, Burkina Faso, BFA
-4.84617, 2020-2039, gfdl_cm3, Apr Anomaly, Burkina Faso, BFA
